code,kr-name
UKA000,전파방해방지구역미분류
UKA100,전파방해방지구역
UKA999,전파방해방지구역기타
UKB000,무선방위측정장치보호구역미분류
UKB100,무선방위측정장치보호구역
UKB999,무선방위측정장비보호구역기타
UKZ000,정통기타용도지역지구미분류
UKZ100,정통기타용도지역지구용도지역지구
UKZ999,정통기타용도지역지구기타
ULA000,원자력제한구역미분류
ULA100,제한구역
ULA200,방사선관리구역
ULA300,보전구역
ULA999,원자력제한구역기타
ULB000,전원개발미분류
ULB100,전원개발사업구역
ULB110,발전소(전원개발사업구역)
ULB120,변전소(전원개발사업구역)
ULB200,전원개발사업예정구역
ULB999,전원개발기타
ULC000,집단에너지공급대상지역미분류
ULC100,집단에너지공급대상지역
ULC999,집단에너지공급대상지역기타
ULD000,광구미분류
ULD100,광구
ULD999,광구기타
ULE000,탄좌미분류
ULE100,탄좌
ULE200,탄좌설정대상광구
ULE999,탄좌기타
ULF000,해저광물개발구역미분류
ULF100,해저광물개발구역
ULF999,해저광물개발구역기타
ULZ000,에너지기타용도지역지구미분류
ULZ100,에너지기타용도지역지구용도지역지구
ULZ999,에너지기타용도지역지구기타
UM1000,공장설립제한지역미분류
UM1100,공장설립제한지역
UM1999,공장설립제한지역기타
UM2000,공장설립승인지역미분류
UM2100,공장설립승인지역
UM2999,공장설립승인지역기타
UMA000,공원구역미분류
UMA100,국립공원
UMA200,도립공원
UMA300,군립공원
UMA400,공원보호구역
UMA999,공원구역기타
UMB000,자연공원용도지구미분류
UMB100,공원자연보존지구
UMB200,공원자연환경지구
UMB310,공원자연마을지구
UMB320,공원밀집마을지구
UMB400,공원집단시설지구
UMB500,공원문화유산지구
UMB999,자연공원용도지구기타
UMC000,자연환경용도지역미분류
UMC100,생태계보전지역
UMC110,시도생태계보전지역
UMC120,임시생태계보전지역
UMC200,완충지역
UMC300,자연유보지역
UMC400,자연휴식지
UMC500,생태·경관보전지역
UMC510,생태·경관핵심보전구역
UMC520,생태·경관완충보전구역
UMC530,생태·경관전이보전지역
UMC600,시·도 생태·경관보전지역
UMC999,자연환경용도지역기타
UMD000,자연환경용도구역미분류
UMD400,자연생태계특별보호구역
UMD500,해양생태계특별보호구역
UMD999,자연환경용도구역기타
UME000,대기환경규제지역미분류
UME100,대기환경규제지역
UME200,측정망설치구역
UME300,총량규제지역
UME999,대기환경규제지역기타
UMF000,토양보전대책지역미분류
UMF100,토양보전대책지역
UMF999,토양보전대책지역기타
UMG000,폐기물처리시설설치지역미분류
UMG100,폐기물처리시설설치지역
UMG200,폐기물처리시설입지
UMG999,폐기물처리시설설치지역기타
UMH000,소음진동규제지역미분류
UMH100,건설소음진동규제지역
UMH200,교통소음진동규제지역
UMH300,생활소음진동규제지역
UMH400,측정망설치구역
UMH999,소음진동규제지역기타
UMI000,상수원보호구역미분류
UMI100,상수원보호구역
UMI999,상수원보호기타
UMJ000,환경정비구역미분류
UMJ100,환경정비구역
UMJ999,환경정비구역기타
UMK000,(한강)수계수변구역미분류
UMK100,(한강)수변구역
UMK200,(한강)상수원보호구역
UMK300,(한강)오염행위 제한지역
UMK400,(한강)건축 등 허가제한지역
UMK500,(한강)폐수배출시설 설치제한지역
UMK600,(한강)폐기물매립시설 설치제한지역
UMK999,(한강)수계수변구역기타
UML000,하수용도구역미분류
UML100,배수구역
UML200,하수처리구역
UML999,하수용도구역기타
UMM000,수질보전특별대책지역미분류
UMM100,특별대책지역
UMM200,수질보전특별대책지역
UMM999,수질보전특별대책지역기타
UMN000,공공수역미분류
UMN100,공공수역
UMN200,배출시설설치제한지역
UMN300,측정망설치구역
UMN400,총량규제지역
UMN500,수계영향권별환경관리지역
UMN600,호수수질보전구역
UMN700,낚시금지제한구역
UMN999,공공수역기타
UMO000,해양환경해역미분류
UMO100,특별관리해역
UMO200,환경보전해역
UMO999,해양환경해역기타
UMP000,재활용단지미분류
UMP100,재활용단지
UMP999,재활용단지기타
UMQ000,습지보호지역미분류
UMQ100,습지보호지역
UMQ200,습지주변관리지역
UMQ300,습지개선지역
UMQ999,습지보호지역기타
UMR000,특정도서미분류
UMR100,특정도서
UMR200,시·도특정도서
UMR999,특정도서기타
UMS000,야생동·식물보호구역미분류
UMS100,야생동·식물특별보호구역
UMS210,시·도야생동·식물보호구역
UMS220,야생동·식물보호구역
UMS999,야생동·식물보호구역기타
UMT000,골재채취용도지역미분류
UMT100,골재채취단지
UMT200,골재채취금지구역
UMT999,골재채취용도지역기타
UMU000,(금강)수계수변구역미분류
UMU100,(금강)수변구역
UMU200,(금강)상수원보호구역
UMU300,(금강)오염행위 제한지역
UMU400,(금강)건축 등 허가제한지역
